Número de identificación del vehículo (VIN),Marca,Modelo,Tipo de vehículo,Año de fabricación,Kilometraje,Estado,Precio de venta,Fecha de adquisición,Estado del vehículo,Imagen,Color
KM8SRDHF7FU123456,Hyundai,Tucson,Turismo,2020,0 km,Nuevo,$25.800,2021-01-16,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Hyundai_Tucson_2020_IMG_1100.jpg/320px-Hyundai_Tucson_2020_IMG_1100.jpg,rojo
1GYS4JKJ6HR123456,Cadillac,Escalade,Turismo,2018,40.000 km,Usado,$48.500,2021-01-16,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/2018_Cadillac_Escalade_1.jpg/320px-2018_Cadillac_Escalade_1.jpg,verde
KM8SRDHF7FU1234,Hyundai,Tucson,Turismo,2020,0 km,Nuevo,$25.800,2021-01-16,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Hyundai_Tucson_2020_IMG_1100.jpg/320px-Hyundai_Tucson_2020_IMG_1100.jpg,azul
5TDZARFH2ES123456,Toyota,Sienna,Turismo,2014,70.000 km,Usado,$19.500,2021-02-02,Reservado,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/2014_Toyota_Sienna_XLE_Front.jpg/320px-2014_Toyota_Sienna_XLE_Front.jpg,amarillo
5TDZARFH2ES123256,Toyota,Sienna,Turismo,2014,70.000 km,Usado,$19.500,2021-02-02,Reservado,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/2014_Toyota_Sienna_XLE_Front.jpg/320px-2014_Toyota_Sienna_XLE_Front.jpg,magenta
2GKALSEK7G6123456,GMC,Terrain,Turismo,2016,60.000 km,Usado,$21.700,2021-03-21,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/2016_GMC_Terrain_SLE_front_6.10.18.jpg/320px-2016_GMC_Terrain_SLE_front_6.10.18.jpg,cian
2GKALSCK7G6123456,GMC,Terrain,Turismo,2016,60.000 km,Usado,$21.700,2021-03-21,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/2016_GMC_Terrain_SLE_front_6.10.18.jpg/320px-2016_GMC_Terrain_SLE_front_6.10.18.jpg,rojo
1HGCR2F34FA123456,Honda,Accord,Turismo,2015,50.000 km,Usado,$18.200,2021-04-09,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2015_Honda_Accord_EX_L_Sedan_%28cropped%29.jpg/320px-2015_Honda_Accord_EX_L_Sedan_%28cropped%29.jpg,verde
1HGCR2F3NVV123456,Honda,Accord,Turismo,2015,50.000 km,Usado,$18.200,2021-04-09,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2015_Honda_Accord_EX_L_Sedan_%28cropped%29.jpg/320px-2015_Honda_Accord_EX_L_Sedan_%28cropped%29.jpg,azul
1GNKVJKD0DJ123456,Chevrolet,Traverse,Turismo,2013,80.000 km,Usado,$16.500,2021-05-27,Vendido,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/2013_Chevrolet_Traverse_LTZ_Front.jpg/320px-2013_Chevrolet_Traverse_LTZ_Front.jpg,amarillo
1GNKVJKD0123456,Chevrolet,Traverse,Turismo,2013,80.000 km,Usado,$16.500,2021-05-27,Vendido,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/2013_Chevrolet_Traverse_LTZ_Front.jpg/320px-2013_Chevrolet_Traverse_LTZ_Front.jpg,magenta
